SampleID,Site,LitterOrigin,MicrobialOrigin,Replicate,Timepoint,Date,Collection,FullBag,EmptyBag,BagDiff,EmptyContainer,FullContainer,ContainerDiff,DNAWetWeight,HydrolyticWetWeight,OxidativeWetWeight,BactWetWeight,LitterWetWeight,LitterDryWeight,WetLitterPlusEnvWeight,EnvWeight,DryLitterPlusEnvWeight,HyphaeWetWeight
4P02,Woodland,Grassland,Oak Pine,2,1,4/6/16,4/5/16,10.07,5.83,4.24,48.34,52.53,4.19,0.0509,0.41,0.19,0.1,0.97,0.85,2.5,1.53,2.38,0.1
4P03,Woodland,Grassland,Oak Pine,3,1,4/6/16,4/5/16,9.74,5.79,3.95,48.19,52.08,3.89,0.0505,0.4,0.21,0.1,1.01,0.9,2.53,1.52,2.42,0.1
4P04,Woodland,Grassland,Oak Pine,4,1,4/6/16,4/5/16,9.77,5.75,4.02,48.16,52.1,3.94,0.0511,0.39,0.21,0.11,0.99,0.88,2.51,1.52,2.4,0.11
4S01,Woodland,Grassland,Subalpine,1,1,4/6/16,4/5/16,10.1,6.26,3.84,50.94,54.69,3.75,0.0505,0.44,0.21,0.15,1.02,0.91,2.56,1.54,2.45,0.12
4S02,Woodland,Grassland,Subalpine,2,1,4/6/16,4/5/16,10.45,6.07,4.38,50.46,55.13,4.67,0.0509,0.41,0.22,0.13,0.95,0.85,2.5,1.55,2.4,0.11
4S03,Woodland,Grassland,Subalpine,3,1,4/6/16,4/5/16,9.91,6.06,3.85,50.67,54.44,3.77,0.0507,0.42,0.21,0.13,1.02,0.89,2.53,1.51,2.4,0.12
4S04,Woodland,Grassland,Subalpine,4,1,4/6/16,4/5/16,10.1,6.07,4.03,47.86,51.78,3.92,0.0505,0.38,0.19,0.1,1,0.87,2.5,1.5,2.37,0.1
4W01,Woodland,Grassland,Woodland,1,1,4/6/16,4/5/16,9.61,5.67,3.94,48.8,52.66,3.86,0.0506,0.41,0.2,0.12,1.05,0.9,2.62,1.57,2.47,0.12
4W02,Woodland,Grassland,Woodland,2,1,4/6/16,4/5/16,10.15,5.83,4.32,48.92,53.14,4.22,0.0507,0.42,0.22,0.12,1.1,0.96,2.67,1.57,2.53,0.12
4W03,Woodland,Grassland,Woodland,3,1,4/6/16,4/5/16,9.56,5.63,3.93,48.06,51.95,3.89,0.0497,0.43,0.22,0.12,1.08,0.95,2.64,1.56,2.51,0.11
4W04,Woodland,Grassland,Woodland,4,1,4/6/16,4/5/16,9.74,5.9,3.84,48.1,51.85,3.75,0.0504,0.42,0.21,0.13,1.09,0.97,2.63,1.54,2.51,0.11
5C01,Subalpine,Grassland,,1,1,4/6/16,4/5/16,9.28,4.8,4.48,50.71,54.22,3.51,,,,0.1057,1,0.86,2.52,1.52,2.38,0.1139
5C02,Subalpine,Grassland,,2,1,4/6/16,4/5/16,9.626,4.28,5.346,50.77,54.44,3.67,,,,0.1,0.99,0.83,2.53,1.54,2.37,0.1
5C03,Subalpine,Grassland,,3,1,4/6/16,4/5/16,9.46,5.88,3.58,50.71,54.28,3.57,,,,0.1,0.97,0.85,2.48,1.51,2.36,0.1
5C04,Subalpine,Grassland,,4,1,4/6/16,4/5/16,9.46,5.93,3.53,50.63,54.04,3.41,,,,0.1,1.05,0.89,2.58,1.53,2.42,0.1
5D01,Subalpine,Grassland,Desert,1,1,4/6/16,4/5/16,7.45,5.83,1.62,48.15,51.74,3.59,0.0495,0.41,0.2,0.11,1.02,0.82,2.54,1.52,2.34,0.1
5D02,Subalpine,Grassland,Desert,2,1,4/6/16,4/5/16,9.7,6.02,3.68,48.15,51.72,3.57,0.0501,0.41,0.21,0.11,1.03,0.88,2.54,1.51,2.39,0.1
5D03,Subalpine,Grassland,Desert,3,1,4/6/16,4/5/16,9.56,5.92,3.64,47.92,51.48,3.56,0.0502,0.41,0.22,0.11,0.99,0.85,2.55,1.56,2.41,0.11
5D04,Subalpine,Grassland,Desert,4,1,4/6/16,4/5/16,9.71,6.03,3.68,48.96,52.53,3.57,0.05,0.41,0.21,0.1,1.07,0.94,2.63,1.56,2.5,0.11
5G01,Subalpine,Grassland,Grassland,1,1,4/6/16,4/5/16,9.58,6.02,3.56,49.06,52.53,3.47,0.0506,0.41,0.2,0.12,0.98,0.84,2.5,1.52,2.36,0.1
5G02,Subalpine,Grassland,Grassland,2,1,4/6/16,4/5/16,8.6914,6.2385,2.4529,47.36,50.77,3.41,0.0504,0.4047,0.2036,0.1014,0.9967,0.84,2.5267,1.53,2.37,0.102
5G03,Subalpine,Grassland,Grassland,3,1,4/6/16,4/5/16,9.4838,5.9792,3.5046,48.15,51.7,3.55,0.0506,0.4082,0.2009,0.1038,1.0881,0.95,2.5881,1.5,2.45,0.1021
5G04,Subalpine,Grassland,Grassland,4,1,4/6/16,4/5/16,9.5645,6.088,3.4765,48.02,51.53,3.51,0.0508,0.4062,0.2021,0.1072,1.0396,0.9,2.5396,1.5,2.4,0.1037
5L01,Subalpine,Subalpine,,1,1,4/6/16,4/5/16,5.62,3.92,1.7,50.9,52.53,1.63,,,,0.102,1.01,0.91,2.53,1.52,2.43,0.1034
5L02,Subalpine,Subalpine,,2,1,4/6/16,4/5/16,5.71,3.93,1.78,50.49,52.01,1.52,,,,0.1029,1.05,0.91,2.58,1.53,2.44,0.1069
5L03,Subalpine,Subalpine,,3,1,4/6/16,4/5/16,5.71,3.94,1.77,50.66,52.37,1.71,,,,0.103,1.03,0.92,2.55,1.52,2.44,0.1089
5L04,Subalpine,Subalpine,,4,1,4/6/16,4/5/16,5.77,4.02,1.75,50.59,52.26,1.67,,,,0.1004,1.04,0.93,2.55,1.51,2.44,0.1045
5N01,Subalpine,Subalpine,,1,1,4/6/16,4/5/16,7.68,5.92,1.76,50.49,52.3,1.81,,,,0.1048,1.02,0.87,2.53,1.51,2.38,0.1035
5N02,Subalpine,Subalpine,,2,1,4/6/16,4/5/16,7.61,5.84,1.77,50.84,52.62,1.78,,,,0.104,1.02,0.9,2.55,1.53,2.43,0.107
5N03,Subalpine,Subalpine,,3,1,4/6/16,4/5/16,7.55,5.93,1.62,51.05,52.81,1.76,,,,0.103,1,0.86,2.51,1.51,2.37,0.106
5N04,Subalpine,Subalpine,,4,1,4/6/16,4/5/16,7.48,5.75,1.73,50.6,52.39,1.79,,,,0.1033,1.05,0.92,2.56,1.51,2.43,0.1101
5P01,Subalpine,Grassland,Oak Pine,1,1,4/6/16,4/5/16,9.42,5.46,3.96,47.39,51.02,3.63,0.0504,0.4083,0.2026,0.1014,1.0634,0.86,2.5634,1.5,2.36,0.1046
5P02,Subalpine,Grassland,Oak Pine,2,1,4/6/16,4/5/16,9.4067,5.9042,3.5025,48.04,51.51,3.47,0.0499,0.4063,0.2041,0.1024,1.1373,0.98,2.6573,1.52,2.5,0.1013
5P03,Subalpine,Grassland,Oak Pine,3,1,4/6/16,4/5/16,9.6065,5.9341,3.6724,48.84,52.45,3.61,0.0503,0.4053,0.2011,0.1051,1.0347,0.89,2.5947,1.56,2.45,0.1024
5P04,Subalpine,Grassland,Oak Pine,4,1,4/6/16,4/5/16,9.4638,4.7165,4.7473,47.38,50.92,3.54,0.0511,0.4005,0.2032,0.1005,1.0359,0.88,2.5959,1.56,2.44,0.1008
5S01,Subalpine,Grassland,Subalpine,1,1,4/6/16,4/5/16,9.6138,5.8932,3.7206,50.6,54.42,3.82,0.05,0.4024,0.2072,0.1066,1.0769,0.94,2.5969,1.52,2.46,0.1065
5S02,Subalpine,Grassland,Subalpine,2,1,4/6/16,4/5/16,9.6308,5.8798,3.751,50.77,54.15,3.38,0.0493,0.4032,0.206,0.1075,1.0751,0.93,2.6051,1.53,2.46,0.1072
5S03,Subalpine,Grassland,Subalpine,3,1,4/6/16,4/5/16,9.574,5.9119,3.6621,50.51,54.2,3.69,0.0498,0.4054,0.205,0.101,1.0842,0.97,2.6142,1.53,2.5,0.109
5S04,Subalpine,Grassland,Subalpine,4,1,4/6/16,4/5/16,9.49,5.8,3.69,50.67,54.32,3.65,0.0498,0.4,0.2,0.1,1,0.86,2.52,1.52,2.38,0.1
5W01,Subalpine,Grassland,Woodland,1,1,4/6/16,4/5/16,9.38,5.9336,3.4464,47.56,51.01,3.45,0.0497,0.4016,0.2024,0.1046,1.0022,0.87,2.5022,1.5,2.37,0.0998
5W02,Subalpine,Grassland,Woodland,2,1,4/6/16,4/5/16,9.31,5.85,3.46,47.95,51.34,3.39,0.0508,0.4021,0.2033,0.1039,1.003,0.85,2.543,1.54,2.39,0.1031
5W03,Subalpine,Grassland,Woodland,3,1,4/6/16,4/5/16,9.47,5.86,3.61,47.99,51.53,3.54,0.0501,0.403,0.2055,0.1021,1.0431,0.9,2.6031,1.56,2.46,0.105
5W04,Subalpine,Grassland,Woodland,4,1,4/6/16,4/5/16,7.78,5.94,1.84,47.8,51.17,3.37,0.0505,0.4039,0.2021,0.1136,0.9929,0.87,2.52,1.53,2.4,0.1312
1C02,Desert,Grassland,,2,2,10/25/16,10/24/16,15.83,7.74,8.09,47.85,59.87,12.02,,,,0.2,2.94,0.88,,1.08,1.96,0.19
1C03,Desert,Grassland,,3,2,10/25/16,10/24/16,21.29,7.7,13.59,48.04,61.51,13.47,,,,0.21,2.04,0.51,,1.07,1.58,0.21
1C04,Desert,Grassland,,4,2,10/25/16,10/24/16,16.92,7.84,9.08,49,56.82,7.82,,,,0.19,2.2,1.09,,1.11,2.2,0.19
1D01,Desert,Grassland,Desert,1,2,10/25/16,10/24/16,15.39,8.07,7.32,47.33,54.47,7.14,,0.948,0.492,0.182,2.052,1.11,,1.09,2.2,0.178
1D02,Desert,Grassland,Desert,2,2,10/25/16,10/24/16,18.278,8.381,9.897,47.98,57.639,9.659,,0.92,0.4,0.211,2.188,0.89,,1.06,1.95,0.18
1D03,Desert,Grassland,Desert,3,2,10/25/16,10/24/16,20.334,8.267,12.067,47.95,59.869,11.919,,0.906,0.359,0.228,2.467,0.74,,1.1,1.84,0.233
1D04,Desert,Grassland,Desert,4,2,10/25/16,10/24/16,21.395,8.275,13.12,47.77,60.683,12.913,,0.784,0.363,0.238,2.761,0.75,,1.11,1.86,0.194
1G01,Desert,Grassland,Grassland,1,2,10/25/16,10/24/16,18.772,7.835,10.937,48.05,58.873,10.823,,0.824,0.388,0.206,2.134,0.71,,1.07,1.78,0.186
1G02,Desert,Grassland,Grassland,2,2,10/25/16,10/24/16,18.71,7.667,11.043,49.02,59.917,10.897,,0.788,0.41,0.208,2.244,0.74,,1.08,1.82,0.222
1G03,Desert,Grassland,Grassland,3,2,10/25/16,10/24/16,21.051,7.504,13.547,48.74,62.058,13.318,,0.805,0.405,0.2,3.01,0.86,,1.13,1.99,0.208
1G04,Desert,Grassland,Grassland,4,2,10/25/16,10/24/16,17.742,7.611,10.131,48.98,58.934,9.954,,0.804,0.4,0.199,2.702,1,,1.06,2.06,0.197
1G05,Desert,Grassland,Grassland,5,2,10/25/16,10/24/16,17.421,7.557,9.864,,57.594,,,0.792,0.394,0.194,2.086,0.74,,1.11,1.85,0.196
1L01,Desert,Desert,,1,2,10/25/16,10/24/16,10.78,5.36,5.42,48.15,53.46,5.31,,,,0.21,1.53,0.77,,1.08,1.85,0.19
1L02,Desert,Desert,,2,2,10/25/16,10/24/16,9.45,4.76,4.69,48.93,53.41,4.48,,,,0.2,1.6,0.57,,1.09,1.66,0.21
1L03,Desert,Desert,,3,2,10/25/16,10/24/16,8.85,4.48,4.37,47.32,51.55,4.23,,,,0.19,1.46,0.56,,1.09,1.65,0.19
1L04,Desert,Desert,,4,2,10/25/16,10/24/16,8.69,4.66,4.03,49.03,52.98,3.95,,,,0.19,1.71,0.8,,1.08,1.88,0.21
1N01,Desert,Desert,,1,2,10/25/16,10/24/16,10.65,6.98,3.67,48.05,51.68,3.63,,0.4022,0.1895,0.18,1.55,0.7,,1.11,1.81,0.19
1N02,Desert,Desert,,2,2,10/25/16,10/24/16,10.92,7.1,3.82,47.18,50.91,3.73,,0.4009,0.1945,0.19,1.47,0.61,,1.08,1.69,0.21
1N03,Desert,Desert,,3,2,10/25/16,10/24/16,11.28,7.3,3.98,48.07,52.02,3.95,,0.4,0.197,0.21,1.55,0.58,,1.1,1.68,0.19
1N04,Desert,Desert,,4,2,10/25/16,10/24/16,10.8,7.5,3.3,50.56,53.84,3.28,,,,0.21,1.43,0.66,,1.1,1.76,0.19
1P01,Desert,Grassland,Oak Pine,1,2,10/25/16,10/24/16,18.302,6.923,11.379,49,60.164,11.164,,0.803,0.425,0.23,2.875,0.9,,1.08,1.98,0.225
1P02,Desert,Grassland,Oak Pine,2,2,10/25/16,10/24/16,17.953,8.16,9.793,47.25,56.842,9.592,,0.796,0.399,0.222,2.16,0.82,,1.07,1.89,0.226
1P03,Desert,Grassland,Oak Pine,3,2,10/25/16,10/24/16,18.523,7.897,10.626,49.06,59.496,10.436,,0.811,0.443,0.2,2.082,0.76,,1.09,1.85,0.222
1P04,Desert,Grassland,Oak Pine,4,2,10/25/16,10/24/16,19.007,7.2,11.807,47.88,59.163,11.283,,0.844,0.464,0.222,1.853,0.61,,1.07,1.68,0.223
1S01,Desert,Grassland,Subalpine,1,2,10/25/16,10/24/16,16.12,5.474,10.646,47.46,56.127,8.667,,0.831,0.443,0.264,1.796,0.33,,1.1,1.32,0.225
1S02,Desert,Grassland,Subalpine,2,2,10/25/16,10/24/16,24.364,8.426,15.938,48.21,63.883,15.673,,0.824,0.444,0.236,1.937,0.42,,1.07,1.49,0.24
1S03,Desert,Grassland,Subalpine,3,2,10/25/16,10/24/16,20.89,7.049,13.841,47.93,61.594,13.664,,0.829,0.417,0.191,2.172,0.58,,1.08,1.66,0.202
1S04,Desert,Grassland,Subalpine,4,2,10/25/16,10/24/16,23.254,8.214,15.04,49.18,63.991,14.811,,0.869,0.435,0.224,2.196,0.49,,1.07,1.56,0.194
1W01,Desert,Grassland,Woodland,1,2,10/25/16,10/24/16,18.84,7.465,11.375,48.65,59.842,11.192,,0.793,0.411,0.197,3.313,1.04,,1.08,2.12,0.209
1W02,Desert,Grassland,Woodland,2,2,10/25/16,10/24/16,17.303,8.031,9.272,47.92,57.023,9.103,,0.803,0.427,0.22,2.126,0.78,,1.09,1.87,0.2
1W03,Desert,Grassland,Woodland,3,2,10/25/16,10/24/16,19.642,6.85,12.792,47.92,59.346,11.426,,0.803,0.408,0.227,2.244,0.66,,1.06,1.72,0.206
1W04,Desert,Grassland,Woodland,4,2,10/25/16,10/24/16,14.829,5.17,9.659,48.03,55.252,7.222,,0.823,0.408,0.228,2.105,0.67,,1.08,1.75,0.21
2C01,Grassland,Grassland,,1,2,10/25/16,10/23/16,9.294,6.042,3.252,47.89,51.215,3.325,,,,0.115,1.389,1.14,,1.1,2.24,0.111
2C02,Grassland,Grassland,,2,2,10/25/16,10/23/16,9.578,5.888,3.69,47.84,51.528,3.688,,,,0.115,1.367,1.17,,1.09,2.26,0.107
2C03,Grassland,Grassland,,3,2,10/25/16,10/23/16,9.203,5.951,3.252,47.87,51.115,3.245,,,,0.12,1.202,1,,1.11,2.11,0.118
2C04,Grassland,Grassland,,4,2,10/25/16,10/23/16,9.175,5.976,3.199,47.3,50.459,3.159,,,,0.104,1.211,1.03,,1.1,2.13,0.11
2D01,Grassland,Grassland,Desert,1,2,10/25/16,10/23/16,9.64,5.99,3.65,47.27,50.93,3.66,,0.411,0.202,0.112,2.007,1.72,,1.08,2.8,0.101
2D02,Grassland,Grassland,Desert,2,2,10/25/16,10/23/16,8.176,5.245,2.931,48.72,50.541,1.821,,0.402,0.226,0.126,1.803,1.52,,1.11,2.63,0.103
2D03,Grassland,Grassland,Desert,3,2,10/25/16,10/23/16,8.312,5.201,3.111,47.66,49.647,1.987,,0.411,0.218,0.103,1.747,1.52,,1.07,2.59,0.091
2D04,Grassland,Grassland,Desert,4,2,10/25/16,10/23/16,9.333,6.028,3.305,48.39,51.695,3.305,,0.414,0.19,0.118,2.079,1.81,,1.09,2.9,0.104
2G01,Grassland,Grassland,Grassland,1,2,10/25/16,10/23/16,9.082,5.915,3.167,47.27,50.408,3.138,,0.394,0.21,0.126,1.966,1.66,,1.1,2.76,0.111
2G02,Grassland,Grassland,Grassland,2,2,10/25/16,10/23/16,9.093,6.019,3.074,48.69,51.757,3.067,,0.426,0.232,0.127,1.837,1.56,,1.08,2.64,0.098
2G03,Grassland,Grassland,Grassland,3,2,10/25/16,10/23/16,9.21,6.222,2.988,50.37,53.36,2.99,,0.399,0.199,0.103,1.755,1.5,,1.1,2.6,0.094
2G04,Grassland,Grassland,Grassland,4,2,10/25/16,10/23/16,8.833,5.811,3.022,47.31,50.352,3.042,,0.419,0.2,0.1,1.831,1.58,,1.11,2.69,0.096
2L01,Grassland,Grassland,,1,2,10/25/16,10/23/16,5.289,3.7814,1.5076,47.3,48.8351,1.5351,,,,0.106,1.1096,0.97,,1.1,2.07,0.1146
2L02,Grassland,Grassland,,2,2,10/25/16,10/23/16,5.0648,3.0302,2.0346,47.86,49.1574,1.2974,,,,0.1088,0.8701,0.75,,1.11,1.86,0.1071
2L03,Grassland,Grassland,,3,2,10/25/16,10/23/16,5.1667,3.7755,1.3912,48.1,49.548,1.448,,,,0.1144,0.9896,0.76,,1.08,1.84,0.0906
2L04,Grassland,Grassland,,4,2,10/25/16,10/23/16,5.13,3.5478,1.5822,47.59,49.3127,1.7227,,,,0.1052,0.991,0.85,,1.12,1.97,0.0994
2N01,Grassland,Grassland,,1,2,10/25/16,10/23/16,7.381,5.823,1.558,50.62,52.189,1.569,,,,0.119,1.07,0.87,,1.11,1.98,0.118
2N02,Grassland,Grassland,,2,2,10/25/16,10/23/16,7.43,5.863,1.567,47.3,48.899,1.599,,,0.1757,0.115,1.023,0.85,,1.1,1.95,0.099
2N03,Grassland,Grassland,,3,2,10/25/16,10/23/16,7.258,5.674,1.584,50.4,52.054,1.654,,,0.2001,0.102,1.016,0.83,,1.11,1.94,0.105
2N04,Grassland,Grassland,,4,2,10/25/16,10/23/16,7.0341,4.7945,2.2396,50.85,52.22,1.37,,,0.056,0.1115,0.9986,0.84,,1.1,1.94,0.102
2P01,Grassland,Grassland,Oak Pine,1,2,10/25/16,10/23/16,9.057,6.122,2.935,50.88,53.813,2.933,,0.409,0.216,0.117,1.269,1.07,,1.11,2.18,0.104
2P02,Grassland,Grassland,Oak Pine,2,2,10/25/16,10/23/16,9.593,5.992,3.601,50.8,54.463,3.663,,0.413,0.212,0.121,2.003,1.72,,1.11,2.83,0.099
2P03,Grassland,Grassland,Oak Pine,3,2,10/25/16,10/23/16,8.59,5.964,2.626,50.6,53.276,2.676,,0.405,0.215,0.098,1.175,1.12,,1.09,2.09,0.097
2P04,Grassland,Grassland,Oak Pine,4,2,10/25/16,10/23/16,9.094,5.874,3.22,48.09,51.276,3.186,,0.41,0.218,0.105,1.873,1.59,,1.12,2.71,0.108
2S01,Grassland,Grassland,Subalpine,1,2,10/25/16,10/23/16,9.3,5.68,3.62,47.41,51.039,3.629,,0.407,0.198,0.12,1.996,1.71,,1.1,2.81,0.104
2S02,Grassland,Grassland,Subalpine,2,2,10/25/16,10/23/16,9.273,5.991,3.282,48.74,51.988,3.248,,0.417,0.201,0.122,1.224,1.02,,1.09,2.11,0.108
2S03,Grassland,Grassland,Subalpine,3,2,10/25/16,10/23/16,9.35,5.827,3.523,47.91,51.398,3.488,,0.406,0.214,0.106,1.295,1.1,,1.11,2.21,0.107
2S04,Grassland,Grassland,Subalpine,4,2,10/25/16,10/23/16,9.623,6.249,3.374,47.96,51.321,3.361,,0.397,0.203,0.117,1.275,1.08,,1.08,2.16,0.11
2W01,Grassland,Grassland,Woodland,1,2,10/25/16,10/23/16,8.023,5.673,2.35,47.97,50.343,2.373,,0.408,0.21,0.116,1.264,1.07,,1.08,2.15,0.098
2W02,Grassland,Grassland,Woodland,2,2,10/25/16,10/23/16,8.156,5.991,2.165,48.65,50.822,2.172,,0.394,0.201,0.1,1.144,0.95,,1.11,2.06,0.101
2W03,Grassland,Grassland,Woodland,3,2,10/25/16,10/23/16,8.936,5.974,2.962,47.99,50.959,2.969,,0.394,0.217,0.106,1.802,1.53,,1.12,2.65,0.093
2W04,Grassland,Grassland,Woodland,4,2,10/25/16,10/23/16,9.391,5.979,3.412,48.77,52.205,3.435,,0.405,0.217,0.122,2.029,1.76,,1.08,2.84,0.1
3C02,Oak-Pine,Grassland,,2,2,10/25/16,10/24/16,14.95,7.55,7.4,50.68,57.97,7.29,,,,0.2,2.11,0.84,,1.06,1.9,0.19
3C03,Oak-Pine,Grassland,,3,2,10/25/16,10/24/16,13.96,7.25,6.71,48.08,54.74,6.66,,,,0.22,2.25,0.99,,1.08,2.07,0.2
3C04,Oak-Pine,Grassland,,4,2,10/25/16,10/24/16,13.42,7.03,6.39,49.15,55.45,6.3,,,,0.19,2.03,0.9,,1.11,2.01,0.2
3D01,Oak-Pine,Grassland,Desert,1,2,10/25/16,10/24/16,15.14,7.26,7.88,47.31,55.04,7.73,,0.83,0.42,0.2,2.04,0.81,,1.09,1.9,0.22
3D02,Oak-Pine,Grassland,Desert,2,2,10/25/16,10/24/16,20.23,7.59,12.64,50.42,62.89,12.47,,0.82,0.43,0.22,2.07,0.5,,1.1,1.6,0.25
3D03,Oak-Pine,Grassland,Desert,3,2,10/25/16,10/24/16,9.65,6.32,3.33,47.99,52.34,4.35,,0.82,0.4,0.2,2.09,1.44,,1.09,2.53,0.19
3D04,Oak-Pine,Grassland,Desert,4,2,10/25/16,10/24/16,20.19,6.16,14.03,50.58,63.26,12.68,,0.8,0.42,0.21,2.18,0.49,,1.1,1.59,0.2
3G01,Oak-Pine,Grassland,Grassland,1,2,10/25/16,10/24/16,12.01,6.96,5.05,48.08,52.95,4.87,,0.81,0.41,0.2,2.12,0.86,,1.09,1.95,0.2
3G02,Oak-Pine,Grassland,Grassland,2,2,10/25/16,10/24/16,12.28,6.82,5.46,48.1,53.3,5.2,,0.83,0.4,0.19,2.13,1.22,,1.09,2.31,0.2
3G03,Oak-Pine,Grassland,Grassland,3,2,10/25/16,10/24/16,14.52,7.5,7.02,50.57,57.47,6.9,,0.82,0.39,0.23,2.06,0.83,,1.1,1.93,0.2
3G04,Oak-Pine,Grassland,Grassland,4,2,10/25/16,10/24/16,15.85,7.18,8.67,50.94,59.43,8.49,,0.86,0.43,0.22,2.1,0.68,,1.1,1.78,0.25
3L01,Oak-Pine,Oak-Pine,,1,2,10/25/16,10/24/16,8.15,4.57,3.58,47.28,50.84,3.56,,,,0.2,1.46,0.65,,1.11,1.76,0.21
3L02,Oak-Pine,Oak-Pine,,2,2,10/25/16,10/24/16,9.24,4.56,4.68,48.13,52.74,4.61,,,,0.21,1.83,0.64,,1.1,1.74,0.21
3L03,Oak-Pine,Oak-Pine,,3,2,10/25/16,10/24/16,9.03,4.71,4.32,48.73,53.02,4.29,,,,0.2,1.85,0.63,,1.05,1.68,0.19
3L04,Oak-Pine,Oak-Pine,,4,2,10/25/16,10/24/16,7.81,4.39,3.42,47.86,51.15,3.29,,,,0.2,1.54,0.66,,1.11,1.77,0.19
3N01,Oak-Pine,Oak-Pine,,1,2,10/25/16,10/24/16,11.63,7.45,4.18,47.37,51.49,4.12,,0.3956,0.1956,0.22,1.66,0.6,,1.07,1.67,0.19
3N02,Oak-Pine,Oak-Pine,,2,2,10/25/16,10/24/16,11.72,7.26,4.46,48.07,52.52,4.45,,0.428,0.203,0.22,1.74,0.57,,1.09,1.66,0.21
3N03,Oak-Pine,Oak-Pine,,3,2,10/25/16,10/24/16,10.98,7.32,3.66,47.18,50.8,3.62,,0.3878,0.1982,0.21,1.58,0.62,,1.1,1.72,0.21
3N04,Oak-Pine,Oak-Pine,,4,2,10/25/16,10/24/16,10.62,6.92,3.7,47.34,50.99,3.65,,0.4005,0.2031,0.21,1.27,0.5,,1.08,1.58,0.22
3P01,Oak-Pine,Grassland,Oak Pine,1,2,10/25/16,10/24/16,15.3,7.04,8.26,48.04,56.15,8.11,,0.81,0.41,0.21,2.2,0.72,,1.08,1.8,0.2
3P02,Oak-Pine,Grassland,Oak Pine,2,2,10/25/16,10/24/16,12.95,6.95,6,50.4,56.2,5.8,,0.83,0.41,0.21,2.2,1.11,,1.09,2.2,0.2
3P03,Oak-Pine,Grassland,Oak Pine,3,2,10/25/16,10/24/16,11.65,6.44,5.21,50.69,55.7,5.01,,0.8,0.41,0.2,2.31,1.36,,1.12,2.48,0.2
3P04,Oak-Pine,Grassland,Oak Pine,4,2,10/25/16,10/24/16,19.18,7.4,11.78,50.39,61.95,11.56,,0.85,0.44,0.23,2.98,0.76,,1.1,1.86,0.21
3S01,Oak-Pine,Grassland,Subalpine,1,2,10/25/16,10/24/16,21.39,7.23,14.16,50.66,64.55,13.89,,0.8,0.4,0.22,,0.42,,1.1,1.52,0.21
3S02,Oak-Pine,Grassland,Subalpine,2,2,10/25/16,10/24/16,13.22,7.08,6.14,48.76,54.68,5.92,,0.81,0.41,0.22,2.22,1.15,,1.09,2.24,0.2
3S03,Oak-Pine,Grassland,Subalpine,3,2,10/25/16,10/24/16,10.66,6.54,4.12,47.39,51.35,3.96,,0.81,0.44,0.19,1.78,1.21,,1.08,2.29,0.2
3S04,Oak-Pine,Grassland,Subalpine,4,2,10/25/16,10/24/16,12.73,7.01,5.72,47.43,52.99,5.56,,0.84,0.4,0.22,2.31,1.21,,1.11,2.32,0.21
3W01,Oak-Pine,Grassland,Woodland,1,2,10/25/16,10/24/16,13.04,6.74,6.3,50.61,56.76,6.15,,0.81,0.45,0.25,2.05,0.92,,1.09,2.01,0.2
3W02,Oak-Pine,Grassland,Woodland,2,2,10/25/16,10/24/16,12.79,7.13,5.66,48.66,54.2,5.54,,0.8,0.39,0.21,2.03,1.07,,1.08,2.15,0.21
3W03,Oak-Pine,Grassland,Woodland,3,2,10/25/16,10/24/16,10.63,6.28,4.35,50.5,54.65,4.15,,0.8,0.41,0.21,2.13,1.52,,1.09,2.61,0.2
3W04,Oak-Pine,Grassland,Woodland,4,2,10/25/16,10/24/16,15.66,7.71,7.95,47.37,55.06,7.69,,0.83,0.41,0.22,2.29,0.58,,1.11,1.69,0.2
4C01,Woodland,Grassland,,1,2,10/25/16,10/24/16,19.91,7.67,12.24,50.55,62.68,12.13,,,,0.22,2.35,0.6,,1.11,1.71,0.2
4C02,Woodland,Grassland,,2,2,10/25/16,10/24/16,21.05,7.55,13.5,50.26,63.6,13.34,,,,0.22,2.23,0.51,,1.08,1.59,0.2
4C03,Woodland,Grassland,,3,2,10/25/16,10/24/16,16.93,7.24,9.69,50.72,60.21,9.49,,,,0.21,2.24,0.82,,1.08,1.9,0.2
4C04,Woodland,Grassland,,4,2,10/25/16,10/24/16,21.86,7.35,14.51,50.65,65,14.35,,,,0.2,2,0.48,,1.09,1.57,0.19
4D01,Woodland,Grassland,Desert,1,2,10/25/16,10/24/16,21.29,7.99,13.3,50.71,63.84,13.13,,0.8,0.44,0.21,2.15,0.5,,1.1,1.6,0.21
4D02,Woodland,Grassland,Desert,2,2,10/25/16,10/24/16,20.62,7.31,13.31,50.56,49.08,-1.48,,0.85,0.43,0.24,2.01,0.49,,1.08,1.57,0.24
4D03,Woodland,Grassland,Desert,3,2,10/25/16,10/24/16,19.85,7.52,12.33,50.42,62.63,12.21,,0.81,0.44,0.24,2.21,0.59,,1.09,1.68,0.21
4D04,Woodland,Grassland,Desert,4,2,10/25/16,10/24/16,20.38,7.6,12.78,50.51,61.26,10.75,,0.85,0.42,0.23,2.02,0.52,,1.09,1.61,0.21
4G01,Woodland,Grassland,Grassland,1,2,10/25/16,10/24/16,18.85,7.55,11.3,50.62,61.74,11.12,,0.85,0.45,0.18,2.17,0.61,,1.05,1.66,0.2
