desc_1,SampleID,TimePoint,Site,Inoculum,feedtype,Sampled,drymatter,moisture,CP,ADJ_CP,ADJ_CP_CP,SP,SP_CP,NH3CPE,NH3CPE_CP,ADICP,ADICP_CP,NDICP,NDICP_CP,RDP,RDP_CP,ADF,ADF_NDF,NDF,aNDFom,Lignin,Lignin_ndf,Starch,Starch_NFC,Fat_EE,TDN,NELMcallb,NEMMcallb,NEGMcallb,RFV,NFC,NSC,Ash,Ca,P,Mg,K,S,soilContaiminationProb
4P03-2 ELEVATION LEVEL,4P03,2,Scrubland,P,GRASS FORAGE,10/16/16,91.6,8.4,10.1,9.3,92.5,4.1,40.9,,,1.77,17.5,4.43,43.9,7.1,70.5,45.8,59.5,76.9,70,7.07,9.2,3.1,23.1,2.24,57.8,0.58,0.54,0.29,64,13.4,3.1,1.84,0.6,0.2,0.18,0.33,0.12,Probable low to none
4P04-2 ELEVATION LEVEL,4P04,2,Scrubland,P,GRASS FORAGE,10/16/16,92,8,10.8,9.8,91.4,4.6,42.5,,,2,18.6,4.47,41.6,7.7,71.3,47.3,61,77.5,70.4,7.99,10.3,1.9,15.6,2.18,56.3,0.56,0.52,0.27,62,12.3,1.9,1.67,0.66,0.25,0.19,0.52,0.12,Probable low to none
4S01-2 ELEVATION LEVEL,4S01,2,Scrubland,S,GRASS FORAGE,10/16/16,91.8,8.2,9.4,8.4,89.6,3.8,40.2,,,1.91,20.4,4.05,43.3,6.6,70.1,48.8,61.9,78.7,72.3,8.39,10.66,1.7,14.4,1.91,54.5,0.54,0.49,0.24,60,12,1.7,2.02,0.64,0.19,0.18,0.44,0.12,Probable low to none
4S02-2 ELEVATION LEVEL,4S02,2,Scrubland,S,GRASS FORAGE,10/16/16,91.7,8.3,10.3,9.4,91.4,4.2,40.5,,,1.91,18.6,4.61,44.9,7.2,70.3,48,61.3,78.2,71.5,7.77,9.93,2.1,16.8,2.12,56.4,0.56,0.52,0.27,61,12.3,2.1,1.72,0.68,0.22,0.18,0.51,0.12,Probable low to none
4S03-2 ELEVATION LEVEL,4S03,2,Scrubland,S,GRASS FORAGE,10/16/16,92.1,7.9,11.7,10.5,89.7,5,42.7,,,2.37,20.3,4.96,42.4,8.3,71.3,48,62.2,77.1,67.8,8.88,11.52,2.2,18.1,2.15,55.3,0.55,0.5,0.25,62,12.2,2.2,1.78,0.69,0.3,0.19,0.67,0.13,Probable low to none
4S04-2 ELEVATION LEVEL,4S04,2,Scrubland,S,GRASS FORAGE,10/16/16,91.9,8.1,10.2,9.4,92.5,4.3,41.8,,,1.78,17.5,4.31,42.4,7.2,70.9,46.7,59.3,78.7,71.4,7.34,9.33,2.6,21.9,2.34,57.5,0.57,0.54,0.28,62,11.8,2.6,1.38,0.6,0.22,0.18,0.38,0.11,Probable low to none
4W01-2 ELEVATION LEVEL,4W01,2,Scrubland,W,GRASS FORAGE,10/16/16,92.8,7.2,11.2,10.4,93.1,4.8,43.1,,,1.89,16.9,4.57,40.9,8,71.6,48.8,62.8,77.8,69.9,8.32,10.7,1.5,13,2.19,55.8,0.55,0.51,0.26,61,11.7,1.5,1.77,0.74,0.14,0.16,0.06,0.13,Probable low to none
4W02-2 ELEVATION LEVEL,4W02,2,Scrubland,W,GRASS FORAGE,10/16/16,92.2,7.8,13.3,12.7,95.4,6,44.7,,,1.95,14.6,4.29,32.2,9.6,72.3,45.9,61.5,74.6,67.3,8.05,10.79,2.3,18.5,2.26,57.1,0.57,0.53,0.28,66,12.3,2.3,1.82,0.88,0.11,0.19,,0.16,Probable low to none
4W03-2 ELEVATION LEVEL,4W03,2,Scrubland,W,GRASS FORAGE,10/16/16,91.9,8.1,11,10.4,94.4,5,45.3,,,1.72,15.6,4.17,37.9,8,72.6,47.9,61.9,77.4,70.8,7.69,9.94,1.2,10.5,2.05,56.4,0.56,0.52,0.27,62,11.9,1.2,1.89,0.72,0.15,0.19,0.13,0.13,Probable low to none
4W04-2 ELEVATION LEVEL,4W04,2,Scrubland,W,GRASS FORAGE,10/16/16,92.6,7.4,11.1,10.3,93.4,5.1,46,,,1.84,16.6,4.05,36.6,8.1,73,49.4,63.8,77.5,69.8,8.54,11.02,0.9,8.1,2.24,55.5,0.55,0.51,0.25,61,11.5,0.9,1.71,0.81,0.16,0.18,0.01,0.14,Probable low to none
5D01-2 ELEVATION LEVEL,5D01,2,Subalpine,D,GRASS FORAGE,10/16/16,91.8,8.2,10.4,9.8,94.6,4.9,47.6,,,1.6,15.4,4.02,38.8,7.7,73.8,47.8,60.9,78.4,70.5,6.96,8.88,2.7,24.4,2.1,56.9,0.57,0.53,0.27,61,11,2.7,2.22,0.75,0.04,0.16,,0.12,Probable low to none
5D03-2 ELEVATION LEVEL,5D03,2,Subalpine,D,GRASS FORAGE,10/16/16,91.5,8.5,8,7.3,91,3.8,47.1,,,1.52,19,3.61,45.2,5.9,73.6,47.2,59.3,79.6,74.6,6.98,8.77,3.1,27.6,2.04,55.5,0.55,0.51,0.26,61,11.1,3.1,2.93,0.49,0.14,0.14,0.03,0.07,Probable low to none
5D04-2 ELEVATION LEVEL,5D04,2,Subalpine,D,GRASS FORAGE,10/16/16,92.4,7.6,7.7,7.1,92.4,3.3,42.4,,,1.35,17.6,4.46,58.2,5.5,71.2,49.4,60.1,82.2,76.6,6.41,7.8,2.4,21.5,2.35,58,0.58,0.55,0.29,57,10.9,2.4,1.34,0.54,0.08,0.14,,0.08,Probable low to none
5G01-2 ELEVATION LEVEL,5G01,2,Subalpine,G,GRASS FORAGE,10/16/16,91.2,8.8,12.2,11.1,91.5,5,41.1,,,2.25,18.5,4.87,40,8.6,70.6,45.5,60,75.9,69.6,8.45,11.13,3.1,23.6,2.3,56.6,0.56,0.52,0.27,66,12.9,3.1,1.61,0.64,0.3,0.16,0.45,0.11,Probable low to none
5G03-2 ELEVATION LEVEL,5G03,2,Subalpine,G,GRASS FORAGE,10/16/16,91.6,8.4,11.6,10.5,91.1,4.8,41.7,,,2.19,18.9,5.11,44.2,8.2,70.8,47.9,61.5,77.8,69.8,8.57,11.01,2.2,18,2.14,55.8,0.55,0.51,0.26,62,12.1,2.2,1.49,0.65,0.26,0.15,0.52,0.12,Probable low to none
5G04-2 ELEVATION LEVEL,5G04,2,Subalpine,G,GRASS FORAGE,10/16/16,91.7,8.3,11.6,10.7,92.3,4.7,40.8,,,2.06,17.7,5.37,46.2,8.2,70.4,47.5,60.5,78.4,69.8,7.88,10.05,2,17.5,2.46,57.4,0.57,0.53,0.28,62,11.5,2,1.35,0.73,0.16,0.17,0.08,0.13,Probable low to none
5P01-2 ELEVATION LEVEL,5P01,2,Subalpine,P,GRASS FORAGE,10/16/16,91.2,8.8,12.1,10.9,90,5.3,44.2,,,2.41,20,4.77,39.5,8.7,72.1,47.2,63.1,74.8,64.9,9.4,12.57,2.5,18.4,2.57,55.5,0.55,0.51,0.25,65,13.4,2.5,2.01,0.89,0.25,0.19,,0.14,Probable low to none
5P03-2 ELEVATION LEVEL,5P03,2,Subalpine,P,GRASS FORAGE,10/16/16,90.3,9.7,8.8,8.1,91.3,2.9,32.6,,,1.65,18.7,4.07,46,5.9,66.3,46.3,61.8,75,69.6,8.45,11.27,4,29,3.98,57.6,0.59,0.55,0.29,65,13.6,4,2.62,0.49,0.31,0.21,0.63,0.1,Probable low to none
5P04-2 ELEVATION LEVEL,5P04,2,Subalpine,P,GRASS FORAGE,10/16/16,90.4,9.6,9.6,8.7,90.6,3.4,35.8,,,1.86,19.4,4.62,48.2,6.5,67.9,48.6,62,78.4,70.9,8.76,11.17,1.9,16.5,3.5,56.9,0.57,0.53,0.28,61,11.7,1.9,1.42,0.63,0.27,0.19,0.48,0.11,Probable low to none
5S01-2 ELEVATION LEVEL,5S01,2,Subalpine,S,GRASS FORAGE,10/16/16,91.2,8.8,10.5,9.4,89.5,4.1,39.2,,,2.14,20.5,4.62,44.2,7.3,69.6,47,62.7,75,64.6,8.95,11.93,3.2,24.2,3.82,57.5,0.58,0.54,0.29,65,13.3,3.2,2.04,0.68,0.35,0.21,0.61,0.11,Probable low to none
5S02-2 ELEVATION LEVEL,5S02,2,Subalpine,S,GRASS FORAGE,10/16/16,90.6,9.4,12.4,11.3,91.1,5.3,42.9,,,2.34,18.9,3.51,28.4,8.8,71.4,44.4,62.6,70.9,60.4,9.79,13.8,3.2,21.8,3.8,57.7,0.59,0.55,0.29,71,14.9,3.2,1.55,0.83,0.44,0.23,0.59,0.14,Probable low to none
5S04-2 ELEVATION LEVEL,5S04,2,Subalpine,S,GRASS FORAGE,10/16/16,90.6,9.4,11.4,10,88.4,4.3,37.9,,,2.45,21.6,5.02,44.2,7.8,68.9,48.2,62.5,77.1,66.7,10.01,12.99,1.6,13.3,3.14,55.5,0.56,0.51,0.26,62,12.2,1.6,1.28,0.77,0.35,0.18,0.62,0.13,Probable low to none
5W01-2 ELEVATION LEVEL,5W01,2,Subalpine,W,GRASS FORAGE,10/16/16,90,10,10.8,10.1,93.5,4.3,39.6,,,1.78,16.5,4.73,43.9,7.5,69.8,47.6,61.8,77,70.4,8.54,11.09,1.7,13.9,2.64,56.1,0.56,0.52,0.26,63,12.3,1.7,2.05,0.74,0.14,0.18,,0.14,Probable low to none
5W02-2 ELEVATION LEVEL,5W02,2,Subalpine,W,GRASS FORAGE,10/16/16,91,9,14.7,13.7,93.4,6,41,,,2.43,16.6,4.62,31.5,10.3,70.5,43.3,63.1,68.6,57.7,9.68,14.12,4.4,28.4,3.86,58.6,0.59,0.56,0.3,75,15.4,4.4,2.16,1.01,0.29,0.2,,0.18,Probable low to none
5W03-2 ELEVATION LEVEL,5W03,2,Subalpine,W,GRASS FORAGE,10/16/16,90.2,9.8,8.9,8,89.5,3.4,38.6,,,1.83,20.5,4.4,49.4,6.2,69.3,49,63.1,77.5,72.2,9.01,11.62,2.4,19.1,2.41,53.8,0.53,0.48,0.23,61,12.6,2.4,2.95,0.61,0.17,0.16,0.08,0.11,Probable low to none
5W04-2 ELEVATION LEVEL,5W04,2,Subalpine,W,GRASS FORAGE,10/16/16,90.2,9.8,13.6,12.7,93.2,5.9,43,,,2.29,16.8,4.85,35.6,9.7,71.5,45.1,60.9,74.1,64.7,9.29,12.54,2.5,19.2,2.79,56.9,0.57,0.53,0.27,67,12.9,2.5,1.42,0.97,0.19,0.22,,0.18,Probable low to none
