source: https://wrcc.dri.edu/cgi-bin/rawMAIN.pl?caucja%27,,,,,,,,,,,,,,
Date,Year,DayofYear,DayofRun,Totalsolarradiation_kwhr/m2,MeanWindSpeed_m/s,MeanWindDirection_Deg,Max_windgus_m/s,AverageAirTemp_C,MaxAverageAirTemp_C,MinAverageAirTemp_C,Avg_AverageRelativeHumidity,Max_AverageRelativeHumidity_%,Min_AverageRelativeHumidity_%,TotalPrecip_mm
7/16/16,2016,198,290,6.519,0.25,29,1.47,1.4,27.2,-38.8,15,32,1,0
7/17/16,2016,199,291,6.376,0.25,30,1.84,19.1,27.4,12.5,27,48,12,0
7/18/16,2016,200,292,6.369,0.23,49,1.94,19,27.4,11.8,38,62,15,0
7/19/16,2016,201,293,6.393,0.24,56,1.69,20,28.9,12.2,44,68,21,0
7/20/16,2016,202,294,6.222,0.24,39,2.04,21.1,30.6,13.3,37,61,16,0
7/21/16,2016,203,295,6.24,0.23,51,1.63,21.6,30.4,14.2,33,59,11,0
7/22/16,2016,204,296,6.446,0.23,51,1.89,22.3,32.5,14.1,30,53,11,0
7/23/16,2016,205,297,6.235,0.23,45,1.66,22.5,32.9,14.5,26,42,14,0
7/24/16,2016,206,298,6.224,0.23,55,1.88,21.3,29,14.8,38,56,21,0
7/25/16,2016,207,299,5.65,0.2,49,1.43,20.8,28.1,15.3,45,62,23,0
7/26/16,2016,208,300,5.91,0.23,35,1.97,22,31.5,14.7,47,67,21,0
7/27/16,2016,209,301,5.956,0.25,32,1.54,22.3,30.9,16.3,44,67,21,0
7/28/16,2016,210,302,5.883,0.21,45,1.4,22,30.3,14.6,41,62,21,0
7/29/16,2016,211,303,5.93,0.22,52,1.49,23.3,32.6,16.5,40,60,19,0
7/30/16,2016,212,304,4.123,0.19,42,1.61,20.6,28.5,15.2,61,84,46,0
7/31/16,2016,213,305,5.661,0.23,51,2.12,19.3,26.6,14.3,65,85,44,0
8/1/16,2016,214,306,5.864,0.22,51,1.53,19,26.6,13.2,56,71,34,0
8/2/16,2016,215,307,5.882,0.22,34,1.38,20.4,27.5,14.5,55,75,37,0
8/3/16,2016,216,308,5.746,0.22,42,1.48,20.1,27.3,14.5,52,79,28,0
8/4/16,2016,217,309,5.719,0.23,26,1.56,19.5,28.3,13.2,50,71,33,0
8/5/16,2016,218,310,6.015,0.24,57,1.53,19.2,27,12.5,49,74,27,0
8/6/16,2016,219,311,6.11,0.25,49,1.5,19.1,28.9,12.2,36,59,18,0
8/7/16,2016,220,312,6.101,0.25,43,2.47,19,28,12.2,39,65,22,0
8/8/16,2016,221,313,6.072,0.26,50,2.04,18.2,28.1,11.1,39,68,21,0
8/9/16,2016,222,314,6.289,0.24,23,1.46,15.7,25.7,6.7,27,61,9,0
8/10/16,2016,223,315,6.208,0.28,46,1.8,16.5,26.1,8.1,21,39,7,0
8/11/16,2016,224,316,5.929,0.27,34,1.96,18.9,27.5,12.6,37,77,16,0
8/12/16,2016,225,317,5.516,0.24,31,2.08,19.5,27.6,13,56,79,33,0
8/13/16,2016,226,318,5.74,0.24,39,1.57,20.3,29.3,13.1,45,65,25,0
8/14/16,2016,227,319,5.7,0.23,54,1.66,21.2,31,14,42,63,20,0
8/15/16,2016,228,320,5.773,0.27,47,2.37,20.9,30.8,13.5,34,63,13,0
8/16/16,2016,229,321,5.795,0.3,57,1.85,21.1,30.5,13.6,16,25,8,0
8/17/16,2016,230,322,5.73,0.29,53,1.99,21.1,30.1,14.6,18,29,8,0
8/18/16,2016,231,323,4.933,0.25,50,1.82,20.2,29.1,14.2,27,44,13,0
8/19/16,2016,232,324,5.663,0.24,40,1.74,19,27.6,12.3,33,52,14,0
8/20/16,2016,233,325,5.309,0.23,35,1.56,18.1,26.9,11.7,39,57,20,0
8/21/16,2016,234,326,2.353,0.2,43,1.24,17.2,24.5,11.8,46,58,28,0
8/22/16,2016,235,327,5.342,0.24,51,1.83,16.6,25.3,10.4,42,58,20,0
8/23/16,2016,236,328,5.241,0.22,50,1.54,17.1,26.3,10.4,43,59,21,0
8/24/16,2016,237,329,5.158,0.22,52,1.98,18.1,27,11.8,44,63,22,0
8/25/16,2016,238,330,5.002,0.23,46,1.56,16.5,25.5,9.5,41,57,24,0
8/26/16,2016,239,331,5.118,0.23,46,1.54,14.6,23.3,8.6,35,63,18,0
8/27/16,2016,240,332,4.697,0.23,48,1.76,15.8,25,9,52,75,29,0
8/28/16,2016,241,333,4.942,0.24,47,1.99,17.8,27.7,9.9,48,79,23,0
8/29/16,2016,242,334,4.054,0.25,30,2.15,20,30.8,11.8,35,54,13,0
8/30/16,2016,243,335,4.349,0.24,43,1.87,20.7,30.9,13.7,30,45,14,0
8/31/16,2016,244,336,4.326,0.24,48,2.44,19.8,29.7,13,33,47,15,0
9/1/16,2016,245,337,4.403,0.23,41,1.6,18.8,28.4,12.9,31,45,14,0
9/2/16,2016,246,338,4.462,0.22,6,1.72,16.5,25.8,9.1,29,53,13,0
9/3/16,2016,247,339,4.529,0.26,20,1.98,13.7,24.1,7.3,30,69,9,0
9/4/16,2016,248,340,4.454,0.27,43,1.77,11.3,20.3,4,43,86,10,0
9/5/16,2016,249,341,4.408,0.24,27,1.65,10.8,20,3.3,40,75,23,0
9/6/16,2016,250,342,4.268,0.22,29,1.62,15,25.8,5.9,37,57,14,0
9/7/16,2016,251,343,4.233,0.21,39,1.69,15.3,25.2,8.9,43,63,18,0
9/8/16,2016,252,344,4.004,0.22,32,1.59,16.7,25.7,9.9,59,78,30,0
9/9/16,2016,253,345,4.097,0.21,34,1.85,16.8,26.3,10.2,50,85,19,0
9/10/16,2016,254,346,4.226,0.23,45,2.4,17,27.8,10,38,61,12,0
9/11/16,2016,255,347,4.238,0.27,49,1.6,15.9,25.5,8.9,39,57,17,0
9/12/16,2016,256,348,4.235,0.3,60,1.56,13.2,21.1,6.7,38,80,23,0
9/13/16,2016,257,349,4.544,0.28,234,1.63,7.8,14.1,1.1,68,96,27,0
9/14/16,2016,258,350,4.442,0.21,24,1.75,8.2,19,-0.3,30,48,18,0
9/15/16,2016,259,351,4.378,0.22,41,1.63,10.6,22.7,1.9,24,41,12,0
9/16/16,2016,260,352,4.261,0.22,17,1.67,13.2,25.1,5.1,28,41,13,0
9/17/16,2016,261,353,4.177,0.32,34,2.54,16.6,26.6,7.9,24,37,10,0
9/18/16,2016,262,354,4.104,0.27,35,2.52,18.6,30.1,9.9,23,42,10,0
9/19/16,2016,263,355,1.383,0.21,50,1.88,18.1,27.4,11.7,37,54,19,0
9/20/16,2016,264,356,0.501,0.15,48,0.88,14.5,16.6,11.1,90,96,48,15.24
9/21/16,2016,265,357,1.028,0.16,73,1.39,15,17,11.4,96,97,94,10.92
9/22/16,2016,266,358,4.414,0.32,84,1.77,11.1,16.6,4.3,77,97,36,0
9/23/16,2016,267,359,4.219,0.25,23,1.75,9,18.4,0.9,57,83,23,0
9/24/16,2016,268,360,4.091,0.28,43,2.92,13.2,23.2,5.7,50,81,19,0
9/25/16,2016,269,361,4.074,0.65,267,4.71,18.7,25.2,12.7,20,43,8,0
9/26/16,2016,270,362,1.62,0.39,51,2.84,16.9,22.5,10.8,35,60,20,0
9/27/16,2016,271,363,1.467,0.34,42,3.25,15.5,21.2,9.6,51,77,34,0
9/28/16,2016,272,364,1.592,0.14,23,1.19,13,19.9,8.7,73,90,47,0
9/29/16,2016,273,365,2.914,0.21,46,1.9,14.2,23.4,8.3,65,88,31,0
9/30/16,2016,274,366,3.534,0.21,43,1.48,14.6,23.8,9,65,87,35,0
10/1/16,2016,275,367,3.564,0.22,43,1.85,13,21.3,8.1,67,88,36,0
10/2/16,2016,276,368,3.69,0.27,39,1.51,9.6,17.8,3.2,54,88,19,0
10/3/16,2016,277,369,3.588,0.27,48,1.55,7.4,14.3,0.4,54,91,27,0
10/4/16,2016,278,370,3.586,0.26,50,1.49,8.4,17.5,3.4,61,89,35,0
10/5/16,2016,279,371,3.457,0.24,32,1.43,7.9,16.4,1.6,63,90,43,0
10/6/16,2016,280,372,3.408,0.22,44,1.82,9.7,20.9,2,34,49,14,0
10/7/16,2016,281,373,3.298,0.19,34,1.81,11.7,22.9,3.9,30,53,11,0
10/8/16,2016,282,374,3.255,0.19,32,1.38,12.5,23.8,4.8,29,43,12,0
10/9/16,2016,283,375,3.106,0.23,35,1.62,14.1,24.3,7.2,41,63,20,0
10/10/16,2016,284,376,3.147,0.24,48,1.6,13.9,22.8,8,45,63,20,0
10/11/16,2016,285,377,3.204,0.22,35,1.46,-12.1,20.3,-40,24,65,0,0
10/12/16,2016,286,378,3.226,0.21,41,1.56,-40,-40,-40,0,0,0,0
10/13/16,2016,287,379,3.038,0.2,42,1.62,-40,-40,-40,0,0,0,0
10/14/16,2016,288,380,3.129,0.23,48,1.41,-40,-40,-40,0,0,0,0
10/15/16,2016,289,381,3.048,0.26,55,1.52,-40,-40,-40,0,0,0,0
10/16/16,2016,290,382,2.856,0.28,65,1.68,-0.5,16.7,-40,49,90,0,0
10/17/16,2016,291,383,2.977,0.26,64,1.54,9.2,14.7,3.3,81,95,60,0
10/18/16,2016,292,384,3.132,0.23,40,1.5,10.2,20.8,3.9,40,60,18,0
10/19/16,2016,293,385,3.081,0.2,36,1.56,11.2,22.1,4.8,29,40,14,0
10/20/16,2016,294,386,3.072,0.2,38,2.01,12.7,24.8,5.6,22,33,9,0
10/21/16,2016,295,387,2.98,0.21,38,1.65,13.5,24.7,7,24,33,10,0
10/22/16,2016,296,388,2.962,0.28,52,1.55,13.4,22.7,7.5,23,37,6,0
10/23/16,2016,297,389,0.723,0.25,39,1.3,12.2,19,9.5,54,94,16,0
10/24/16,2016,298,390,0.453,0.3,39,2.17,11.3,16.4,7.5,87,97,48,13.21
10/25/16,2016,299,391,2.757,0.2,51,1.33,10.9,17.1,5.5,85,98,56,0.25
10/26/16,2016,300,392,2.377,0.18,25,1.52,10.2,19.9,4.2,75,97,32,0
10/27/16,2016,301,393,1.58,0.16,41,1.29,11.5,20.3,5.5,67,88,39,0
10/28/16,2016,302,394,1.086,0.3,42,1.95,12.9,17.2,9,72,91,45,0
10/29/16,2016,303,395,1.908,0.25,60,1.84,13.9,19.4,10.7,79,92,56,0
10/30/16,2016,304,396,0.802,0.3,68,1.81,10.9,15.1,5.3,88,97,64,4.06
10/31/16,2016,305,397,1.748,0.23,57,1.2,5,9.6,-1.1,89,99,71,0
11/1/16,2016,306,398,2.71,0.31,34,2.01,4.8,10.7,-1.2,77,96,36,0
11/2/16,2016,307,399,2.529,0.42,39,3.64,10.1,16.3,5.4,43,65,22,0
11/3/16,2016,308,400,2.471,0.4,51,2.92,12.3,19.5,7.1,43,62,21,0
11/4/16,2016,309,401,2.426,0.27,40,2.72,11.4,19.8,5.7,55,75,28,0
11/5/16,2016,310,402,2.377,0.2,39,1.41,10.2,19.5,4.7,61,82,31,0
11/6/16,2016,311,403,2.381,0.19,42,2.09,8.3,17.7,3.2,56,76,24,0
11/7/16,2016,312,404,2.242,0.18,29,1.28,10.4,21,4.6,46,63,20,0
11/8/16,2016,313,405,2.207,0.18,37,1.6,11.5,22.3,6,46,62,21,0
11/9/16,2016,314,406,2.21,0.23,36,2.97,10.6,20.7,5,43,63,21,0
11/10/16,2016,315,407,2.112,0.19,42,1.68,9.2,19.9,3.7,41,55,18,0
11/11/16,2016,316,408,2.058,0.18,38,1.79,8.7,19.7,2.7,43,62,18,0
11/12/16,2016,317,409,1.719,0.16,42,1.55,9,18,3.4,49,64,26,0
11/13/16,2016,318,410,1.986,0.18,37,1.32,9.1,19.8,2.8,46,67,22,0
11/14/16,2016,319,411,1.937,0.18,34,1.34,10.4,21.9,4.7,33,47,12,0
11/15/16,2016,320,412,1.935,0.19,48,1.26,10.8,20.8,5.1,31,41,13,0
11/16/16,2016,321,413,1.629,0.28,53,1.56,7.6,16.2,-1.3,48,90,14,0
11/17/16,2016,322,414,1.888,0.2,38,1.23,2.6,10.9,-2.6,45,84,28,0
11/18/16,2016,323,415,1.885,0.21,46,1.26,5.4,15.9,-0.8,26,41,10,0
11/19/16,2016,324,416,1.434,0.3,42,1.9,9.5,17.8,1.5,20,28,4,0
11/20/16,2016,325,417,1.797,0.3,345,2.28,10.2,14.9,6.1,56,95,16,0
11/21/16,2016,326,418,0.602,0.27,63,3.17,4.7,6.2,2.8,97,98,92,24.89
11/22/16,2016,327,419,1.865,0.16,27,0.84,2.6,10.3,-1.2,93,99,55,0
11/23/16,2016,328,420,1.814,0.24,46,1.87,3.2,12.9,-1.8,81,99,38,0
11/24/16,2016,329,421,1.811,0.23,50,1.83,4.5,15.8,-1.2,55,75,14,0
11/25/16,2016,330,422,1.825,0.19,36,1.24,3,15.8,-2,51,68,12,0
11/26/16,2016,331,423,1.366,0.35,42,2.12,1.6,9.3,-1.7,71,99,20,22.61
11/27/16,2016,332,424,0.218,0.35,52,3.71,0.1,2.9,-3,99,100,99,25.65
11/28/16,2016,333,425,0.871,0.28,47,2.03,-0.5,3,-3.3,98,99,94,0
11/29/16,2016,334,426,1.842,0.22,30,1.62,-0.4,6.4,-3.5,85,99,40,0
11/30/16,2016,335,427,1.836,0.18,32,1.35,-0.9,7.6,-4.6,78,94,33,0
12/1/16,2016,336,428,1.667,0.18,35,1.69,1.2,6.1,-3,80,93,46,0
12/2/16,2016,337,429,1.506,0.64,64,4.13,2,5.1,-5.5,39,61,27,0
12/3/16,2016,338,430,1.874,0.67,68,5.08,6.8,12.2,0.9,24,50,10,0
12/4/16,2016,339,431,1.811,0.26,59,1.94,6.1,15.4,1.5,55,77,13,0
12/5/16,2016,340,432,1.182,0.22,53,1.57,3.7,12.2,-1,64,80,24,0
12/6/16,2016,341,433,1.667,0.26,75,1.34,1.7,5.5,-1.8,83,97,65,0
12/7/16,2016,342,434,1.98,0.22,24,1.66,0.8,7.5,-2.5,81,97,54,0
12/8/16,2016,343,435,1.7,0.21,52,1.41,3.3,10.3,-1.5,84,98,51,0
12/9/16,2016,344,436,1.545,0.2,43,1.39,5.1,12,1.2,89,98,64,0
12/10/16,2016,345,437,1.634,0.25,58,1.56,6,15,0.6,85,98,50,0
12/11/16,2016,346,438,1.641,0.26,53,1.33,6.6,13.9,2.7,81,96,56,0
12/12/16,2016,347,439,1.673,0.24,46,1.52,5.9,13.5,2.2,76,93,43,0
12/13/16,2016,348,440,1.542,0.21,51,1.38,6.5,14.2,2.8,84,97,58,0
12/14/16,2016,349,441,1.811,0.22,42,1.14,6.2,16.7,1.5,61,90,20,0
12/15/16,2016,350,442,1.008,0.3,53,2.31,7.2,14.6,2.8,61,97,18,4.06
12/16/16,2016,351,443,0.146,0.63,42,3.58,4.8,8.6,-1.1,98,100,97,69.09
12/17/16,2016,352,444,1.804,0.23,69,2.15,-3,1.6,-6.6,94,100,76,0
12/18/16,2016,353,445,1.722,0.26,35,2.08,-1.1,6.5,-6.3,71,95,26,0
12/19/16,2016,354,446,1.727,0.2,46,0.86,-0.5,7.9,-4,75,84,44,0
12/20/16,2016,355,447,1.525,0.22,49,0.66,2.7,11.4,-35.9,77,88,4,0
12/21/16,2016,356,448,0.395,0.22,33,1.69,7.6,10.9,4.5,95,97,79,16.51
12/22/16,2016,357,449,0.3,0.2,34,1.43,6.2,7.1,4.4,98,98,97,27.43
12/23/16,2016,358,450,0.693,0.3,47,2.23,3.8,6.1,0.9,96,99,73,3.05
12/24/16,2016,359,451,0.097,0.15,85,2.25,-1.7,0.8,-4.9,98,99,96,36.83
12/25/16,2016,360,452,1.176,0.1,110,0.8,-5.6,-0.9,-9.4,94,97,78,0
12/26/16,2016,361,453,1.661,0.19,47,0.62,-2.4,1.5,-6.8,97,99,95,0
12/27/16,2016,362,454,1.773,0.24,44,0.63,0,4,-8.8,98,100,66,0
12/28/16,2016,363,455,1.789,0.26,46,0.78,1,6,-0.8,96,100,78,0
12/29/16,2016,364,456,1.817,0.24,48,0.82,2,7.8,-1,92,99,68,0
12/30/16,2016,365,457,0.488,0.19,45,1.81,2.9,6.7,0.3,96,99,88,2.03
12/31/16,2016,366,458,0.499,0.23,71,1.77,2.4,4.9,-7.6,97,100,76,35.81
1/1/17,2017,1,459,1.15,0.21,115,1.65,-0.5,1.3,-4.8,99,100,89,0.51
1/2/17,2017,2,460,1.197,0.3,64,1.58,-0.2,1.8,-1.5,97,100,91,0
1/3/17,2017,3,461,1.128,0.2,49,0.99,-0.1,3.5,-2.2,98,99,93,0
1/4/17,2017,4,462,1.911,0.3,60,2.1,2.9,8.1,-1.5,94,100,68,0
1/5/17,2017,5,463,0.368,0.36,54,2.24,5.3,6.7,3,98,99,97,10.92
1/6/17,2017,6,464,1.61,0.23,56,1.26,1,7,-1.7,97,100,78,0
1/7/17,2017,7,465,1.463,0.22,41,1.2,4.1,11.6,-1.4,92,98,65,0
1/8/17,2017,8,466,1.886,0.33,51,2.86,7.5,16.6,3.1,79,98,36,0
1/9/17,2017,9,467,0.531,0.37,57,2.18,4.6,8.3,-0.7,94,99,73,18.8
1/10/17,2017,10,468,1.291,0.3,87,1.85,1.8,4.9,-1.8,95,99,82,0
1/11/17,2017,11,469,0.887,0.28,67,2.54,3.3,6,-0.3,98,99,97,12.19
1/12/17,2017,12,470,0.281,0.28,51,1.68,0.9,2.6,-0.6,99,99,97,36.58
1/13/17,2017,13,471,0.622,0.2,47,2.03,0.5,1.9,-0.4,99,100,99,10.16
1/14/17,2017,14,472,1.938,0.39,57,3.12,3.4,8.5,-0.8,86,100,56,0
1/15/17,2017,15,473,1.492,0.18,20,1.2,0.9,6.2,-1.9,94,99,67,0
1/16/17,2017,16,474,2.258,0.21,28,1.67,1,7.7,-2.3,90,99,65,0
1/17/17,2017,17,475,1.796,0.19,24,1.27,0,8.5,-3.7,83,98,39,0
1/18/17,2017,18,476,1.874,0.24,59,1.43,1.1,8.7,-3.4,81,98,38,0.76
1/19/17,2017,19,477,0.289,0.41,56,2.33,1.4,3.9,0.1,99,100,92,49.02
1/20/17,2017,20,478,0.059,0.46,54,3.02,0.2,1.1,-0.2,99,100,99,82.3
1/21/17,2017,21,479,0.841,0.36,63,2.92,-0.9,0.3,-2,99,100,99,0
1/22/17,2017,22,480,0.54,0.51,48,3.42,1.1,4.9,-1.2,98,100,91,49.28
1/23/17,2017,23,481,0.21,0.52,63,12.58,-0.9,2.5,-2.8,99,100,98,54.61
1/24/17,2017,24,482,1.014,0.2,77,1.43,-3.9,-1.3,-7.9,96,99,87,0.25
1/25/17,2017,25,483,2.323,0.17,43,0.96,-3.9,1.8,-8.9,94,98,78,0
1/26/17,2017,26,484,2.094,0.29,53,3.47,-2.6,3.7,-7.9,81,97,46,0
1/27/17,2017,27,485,2.207,0.99,69,6.21,1.7,6.1,-1.8,32,63,12,0
1/28/17,2017,28,486,2.216,0.62,77,4.82,6.1,11.7,-0.5,33,84,14,0
1/29/17,2017,29,487,2.229,0.61,43,4.47,8.5,14.8,-0.3,35,87,12,0
1/30/17,2017,30,488,2.301,0.21,44,1.13,2.1,11.1,-0.9,80,92,41,0
1/31/17,2017,31,489,2.323,0.2,46,1.18,1.6,10.5,-1.8,81,94,42,0
2/1/17,2017,32,490,2.35,0.24,47,1.3,1.8,11.8,-2.3,74,89,30,0
2/2/17,2017,33,491,2.198,0.23,47,1.32,2,10.4,-2.3,79,96,41,0
2/3/17,2017,34,492,1.11,0.25,56,1.46,3.1,7.7,0.6,96,99,79,0.51
2/4/17,2017,35,493,2.58,0.24,48,1.41,1.7,9.3,-2.2,89,100,51,0
2/5/17,2017,36,494,1.359,0.25,45,1.56,2.5,9.7,-0.9,80,95,49,0
2/6/17,2017,37,495,0.294,0.35,50,2.15,3.7,5.3,0.7,96,99,80,6.86
2/7/17,2017,38,496,0.773,0.36,56,3.37,5.8,7.7,3.9,99,99,98,14.73
2/8/17,2017,39,497,2.085,0.23,60,1.16,6.2,14.5,2.4,93,100,58,0
2/9/17,2017,40,498,2.54,0.26,51,1.28,7.8,18.3,2.9,83,98,37,0
2/10/17,2017,41,499,1.93,0.33,60,2.39,7.5,14.6,3.2,75,97,29,0
2/11/17,2017,42,500,1.52,0.25,51,2.4,4.1,6.9,-1,95,99,73,2.79
2/12/17,2017,43,501,2.916,0.54,74,3.51,6.6,10.9,0.1,64,99,34,0
2/13/17,2017,44,502,2.693,0.3,34,2.46,7,13.2,2.3,71,94,45,0
2/14/17,2017,45,503,3.007,0.24,31,1.73,6,13.4,2,75,96,45,0
2/15/17,2017,46,504,2.874,0.31,62,2.36,7,15.1,0.9,53,78,16,0
2/16/17,2017,47,505,2.347,0.22,54,1.46,5.2,12.4,0.5,67,86,30,0
2/17/17,2017,48,506,1.329,0.54,347,4.14,5.1,8.3,0.1,69,99,36,14.99
2/18/17,2017,49,507,0.94,0.16,49,0.84,1.8,3.9,0.1,99,99,94,5.33
2/19/17,2017,50,508,1.032,0.22,112,0.94,3.1,4.1,2.1,99,99,98,9.65
2/20/17,2017,51,509,2.642,0.28,75,2.57,6.4,12.5,3.1,90,99,60,0
2/21/17,2017,52,510,0.978,0.26,51,1.32,6.3,10.8,1.8,78,95,41,0
2/22/17,2017,53,511,2.237,0.35,65,2.27,2.3,7.4,-1.4,83,98,37,0
2/23/17,2017,54,512,3.277,0.27,55,1.82,-1.4,3.3,-5,81,95,50,0
2/24/17,2017,55,513,3.283,0.25,12,1.52,-1.1,7.5,-6.2,67,94,33,0
2/25/17,2017,56,514,2.675,0.26,59,1.66,0.7,8.3,-4.8,57,92,16,0
2/26/17,2017,57,515,1.138,0.28,91,1.52,-0.3,1.5,-2.9,96,99,78,7.11
2/27/17,2017,58,516,0.226,0.46,50,2.42,2.4,4.8,-1.9,98,99,95,103.6
2/28/17,2017,59,517,2.195,0.26,74,2.83,1,4.3,-1.8,94,100,75,1.02
3/1/17,2017,60,518,3.391,0.22,30,1.68,1.6,10.4,-3.2,78,99,35,0
3/2/17,2017,61,519,3.416,0.29,44,2.66,4.9,15.7,-2.9,55,91,13,0
3/3/17,2017,62,520,3.315,0.23,37,1.38,4.9,16.1,-2.2,59,84,16,0
3/4/17,2017,63,521,3.43,0.33,65,1.85,5.3,12.9,-0.1,56,80,21,0
3/5/17,2017,64,522,1.122,0.37,79,2.59,1.1,3.8,-2.5,82,100,52,7.62
3/6/17,2017,65,523,3.608,0.29,46,1.47,-0.3,7,-5.6,78,98,25,0
3/7/17,2017,66,524,3.542,0.24,38,1.46,5.5,14.7,-1.2,73,95,32,0
3/8/17,2017,67,525,3.742,0.2,27,1.38,8.5,19.3,1.8,68,94,26,0
3/9/17,2017,68,526,3.652,0.21,28,1.58,9.1,20,2.2,64,87,26,0
3/10/17,2017,69,527,3.277,0.22,45,1.51,9.2,19.2,2.1,59,85,22,0
3/11/17,2017,70,528,3.685,0.22,26,1.65,9.6,21,2,56,79,18,0
3/12/17,2017,71,529,3.842,0.24,41,1.54,10.3,21.6,2.7,53,74,20,0
3/13/17,2017,72,530,3.859,0.22,21,1.49,11,22.7,3.3,54,75,20,0
3/14/17,2017,73,531,3.722,0.21,21,1.62,11.1,22.2,3.7,55,78,19,0
3/15/17,2017,74,532,4.043,0.23,39,1.55,11,21,4.1,56,74,24,0
3/16/17,2017,75,533,3.901,0.23,36,1.53,10.1,18.9,3.9,60,81,26,0
3/17/17,2017,76,534,3.836,0.22,33,1.56,11.5,22,3.9,57,75,24,0
3/18/17,2017,77,535,4.237,0.31,56,1.56,11.3,20.1,5.4,51,76,28,0
3/19/17,2017,78,536,4.197,0.34,78,2.29,12.1,20.8,6.5,47,66,24,0
3/20/17,2017,79,537,4.41,0.31,56,1.51,9.8,17.5,2.8,57,80,20,0
3/21/17,2017,80,538,1.704,0.26,89,1.57,7.4,12.2,1.9,74,97,48,2.29
3/22/17,2017,81,539,1.735,0.31,75,2.05,5.4,7.9,1.9,94,99,72,3.3
3/23/17,2017,82,540,3.19,0.27,58,1.56,2.7,7.7,-1.4,90,100,64,1.27
3/24/17,2017,83,541,4.39,0.26,28,1.47,5.4,15.4,-2,74,99,26,0
3/25/17,2017,84,542,2.603,0.28,67,2.02,5.5,9.2,1.5,80,97,65,0
3/26/17,2017,85,543,3.808,0.25,5,1.75,4.5,11.5,-0.7,87,99,66,0
3/27/17,2017,86,544,2.43,0.29,47,1.92,4.3,9.4,-1.6,87,97,50,0
3/28/17,2017,87,545,4.476,0.28,22,3.42,5.2,13.8,-2.5,63,95,18,0
3/29/17,2017,88,546,4.515,0.3,38,3.02,10.3,18.7,1.9,43,70,19,0
3/30/17,2017,89,547,4.551,0.43,62,3.24,6.8,14.4,1.1,62,97,23,0
3/31/17,2017,90,548,4.534,0.32,50,2.01,3,10.4,-2.3,64,84,35,0
4/1/17,2017,91,549,4.509,0.27,24,1.99,6.9,15.1,-0.2,63,87,35,0
4/2/17,2017,92,550,4.478,0.26,39,1.85,7.7,16.2,1.8,63,88,30,0
4/3/17,2017,93,551,4.583,0.28,42,1.76,6.1,13.1,1.5,71,89,44,0
4/4/17,2017,94,552,4.515,0.24,42,1.58,8.4,17.2,1.6,56,85,20,0
4/5/17,2017,95,553,4.588,0.24,40,2.17,9.8,19.4,2.5,52,79,20,0
4/6/17,2017,96,554,4.557,0.26,46,1.73,9.7,17.6,4.1,50,74,21,0
4/7/17,2017,97,555,4.035,0.35,61,2.13,8.6,17.2,2.9,30,58,11,0
4/8/17,2017,98,556,3.803,0.32,79,1.98,5.3,10,-2.6,68,97,18,1.02
4/9/17,2017,99,557,3.887,0.23,17,1.85,3.8,12.5,-3.6,54,81,24,0
4/10/17,2017,100,558,4.823,0.24,26,1.59,6.4,16.5,-2,45,67,16,0
4/11/17,2017,101,559,4.689,0.24,46,1.6,7.6,15.8,1.4,47,66,14,0
4/12/17,2017,102,560,5.196,0.25,53,2.23,7.7,16.3,1.2,62,86,36,0
4/13/17,2017,103,561,3.455,0.31,93,1.7,4.9,11,-1.4,74,93,40,0
4/14/17,2017,104,562,5.719,0.29,13,1.5,3.8,12.1,-3.6,64,87,49,0
4/15/17,2017,105,563,5.601,0.24,16,2.14,8.8,19.5,-0.1,52,72,24,0
4/16/17,2017,106,564,5.588,0.27,42,1.65,10,19,2.8,43,72,11,0
4/17/17,2017,107,565,4.707,0.28,51,2.3,9.5,16.2,3.6,60,88,33,0
4/18/17,2017,108,566,4.187,0.32,83,1.64,10,15.3,4.3,80,93,61,0
4/19/17,2017,109,567,5.96,0.29,31,1.71,7.8,15.9,-1.5,70,92,30,0
4/20/17,2017,110,568,6.172,0.3,41,1.61,9.2,17.8,1.5,52,86,21,0
4/21/17,2017,111,569,6.065,0.24,36,1.94,12.3,22.7,4.1,35,54,17,0
4/22/17,2017,112,570,5.984,0.26,48,1.87,13.2,23.8,5,38,58,13,0
4/23/17,2017,113,571,6.25,0.29,39,1.62,10.9,19.6,5,43,57,14,0
4/24/17,2017,114,572,5.153,0.34,103,1.93,8.8,15.3,4.3,68,95,29,0
4/25/17,2017,115,573,4.126,0.32,33,1.73,7,11.1,2.9,76,92,53,0
4/26/17,2017,116,574,5.388,0.33,49,2.83,11.1,19.3,3.9,61,82,33,0
4/27/17,2017,117,575,5.182,0.34,53,2.39,11,18.6,4.7,59,84,23,0
4/28/17,2017,118,576,6.392,0.42,78,4.05,10.7,16.5,3,38,66,16,0
4/29/17,2017,119,577,6.687,0.62,40,4.19,9.9,17.8,2.6,20,40,7,0
4/30/17,2017,120,578,6.435,0.27,42,2.02,10.1,19.9,1.8,30,49,12,0
